# Machine-generated by the test-strategy lane 2026-07-30 rev2 (method: proofs/TESTING-STRATEGY.md "Method").
# Two axes, never collapsed:
#   oracle_today: real-PG = fleet-run pg_regress/e2e differential (expected output minted from real PostgreSQL 18.3);
#                 vendored-C = in-process compare vs vendored REL_18_STABLE C; none = nothing tests this function.
#   input_coverage_today: fixed-corpus(route) = reached by the hand-written regress/e2e corpus via the named route
#                 (a handful of literals, NOT exploration); random(native-diff) = mass-random driver exists;
#                 none = not reached. Coverage-guided fuzzing reaches ZERO rows today. sqlsmith/simharness
#                 randomized SQL is per-function unattributable and credited to no row.
#   state_mockability (state class only): mockable-now = state already behind an existing seam/sim cfg;
#                 mockable-in-process = in-process with mock catalog rows / fabricated context, no server;
#                 mockable-with-new-seam; mixed-triage; irreducible = only meaningful in a live server.
#   test_strategy: cgf-* = coverage-guided differential fuzzing (primary technique; see strategy doc).
name	class	oracle_today	input_coverage_today	state_mockability	test_strategy
regoperin	state	real-PG	fixed-corpus(named)	mockable-now	cgf-native-diff(seam-mock)
regoperout	state	real-PG	fixed-corpus(named)	mockable-now	cgf-native-diff(seam-mock)
regoperatorin	state	real-PG	fixed-corpus(named)	mockable-now	cgf-native-diff(seam-mock)
regoperatorout	state	real-PG	fixed-corpus(named)	mockable-now	cgf-native-diff(seam-mock)
regclassin	state	real-PG	fixed-corpus(named)	mockable-now	cgf-native-diff(seam-mock)
regclassout	state	real-PG	fixed-corpus(named)	mockable-now	cgf-native-diff(seam-mock)
regtypein	state	real-PG	fixed-corpus(named)	mockable-now	cgf-native-diff(seam-mock)
regtypeout	state	real-PG	fixed-corpus(named)	mockable-now	cgf-native-diff(seam-mock)
pg_stat_clear_snapshot	state	real-PG	fixed-corpus(named)	irreducible	invariant-only
pg_get_function_identity_arguments	state	real-PG	fixed-corpus(named)	mockable-with-new-seam	cgf-native-diff(seam-mock)
fmgr_internal_validator	state	none	none	mockable-in-process	cgf-native-diff(seam-mock)
fmgr_c_validator	state	none	none	mixed-triage	triage-then-cgf-or-invariant
fmgr_sql_validator	state	none	none	mockable-in-process	cgf-native-diff(seam-mock)
has_database_privilege_name_name	state	real-PG	fixed-corpus(proname)	mockable-in-process	cgf-native-diff(seam-mock)
has_database_privilege_name_id	state	real-PG	fixed-corpus(proname)	mockable-in-process	cgf-native-diff(seam-mock)
has_database_privilege_id_name	state	real-PG	fixed-corpus(proname)	mockable-in-process	cgf-native-diff(seam-mock)
has_database_privilege_id_id	state	real-PG	fixed-corpus(proname)	mockable-in-process	cgf-native-diff(seam-mock)
has_database_privilege_name	state	real-PG	fixed-corpus(proname)	mockable-in-process	cgf-native-diff(seam-mock)
has_database_privilege_id	state	real-PG	fixed-corpus(proname)	mockable-in-process	cgf-native-diff(seam-mock)
has_function_privilege_name_name	state	real-PG	fixed-corpus(proname)	mockable-in-process	cgf-native-diff(seam-mock)
has_function_privilege_name_id	state	real-PG	fixed-corpus(proname)	mockable-in-process	cgf-native-diff(seam-mock)
has_function_privilege_id_name	state	real-PG	fixed-corpus(proname)	mockable-in-process	cgf-native-diff(seam-mock)
has_function_privilege_id_id	state	real-PG	fixed-corpus(proname)	mockable-in-process	cgf-native-diff(seam-mock)
has_function_privilege_name	state	real-PG	fixed-corpus(proname)	mockable-in-process	cgf-native-diff(seam-mock)
has_function_privilege_id	state	real-PG	fixed-corpus(proname)	mockable-in-process	cgf-native-diff(seam-mock)
has_language_privilege_name_name	state	none	none	mockable-in-process	cgf-native-diff(seam-mock)
has_language_privilege_name_id	state	none	none	mockable-in-process	cgf-native-diff(seam-mock)
has_language_privilege_id_name	state	none	none	mockable-in-process	cgf-native-diff(seam-mock)
has_language_privilege_id_id	state	none	none	mockable-in-process	cgf-native-diff(seam-mock)
has_language_privilege_name	state	none	none	mockable-in-process	cgf-native-diff(seam-mock)
has_language_privilege_id	state	none	none	mockable-in-process	cgf-native-diff(seam-mock)
has_schema_privilege_name_name	state	real-PG	fixed-corpus(proname)	mockable-in-process	cgf-native-diff(seam-mock)
has_schema_privilege_name_id	state	real-PG	fixed-corpus(proname)	mockable-in-process	cgf-native-diff(seam-mock)
has_schema_privilege_id_name	state	real-PG	fixed-corpus(proname)	mockable-in-process	cgf-native-diff(seam-mock)
has_schema_privilege_id_id	state	real-PG	fixed-corpus(proname)	mockable-in-process	cgf-native-diff(seam-mock)
has_schema_privilege_name	state	real-PG	fixed-corpus(proname)	mockable-in-process	cgf-native-diff(seam-mock)
has_schema_privilege_id	state	real-PG	fixed-corpus(proname)	mockable-in-process	cgf-native-diff(seam-mock)
pg_stat_reset	state	real-PG	fixed-corpus(named)	irreducible	invariant-only
pg_get_backend_memory_contexts	state	none	none	irreducible	invariant-only
textregexreplace_noopt	engine	real-PG	fixed-corpus(named)		cgf-native-diff(engine-kernel)
textregexreplace	engine	real-PG	fixed-corpus(named)		cgf-native-diff(engine-kernel)
pg_total_relation_size	state	none	none	mixed-triage	triage-then-cgf-or-invariant
pg_options_to_table	state	none	none	mixed-triage	triage-then-cgf-or-invariant
record_in	typcache	real-PG	fixed-corpus(named)		cgf-native-diff(typcache-mock)
record_out	typcache	real-PG	fixed-corpus(named)		cgf-native-diff(typcache-mock)
anyarray_out	typcache	real-PG	fixed-corpus(named)		cgf-native-diff(typcache-mock)
pg_stat_get_slru	state	none	none	irreducible	invariant-only
pg_stat_reset_slru	state	real-PG	fixed-corpus(named)	irreducible	invariant-only
md5_text	wall	real-PG	fixed-corpus(proname)		cgf-native-diff
postgresql_fdw_validator	state	real-PG	fixed-corpus(named)	mixed-triage	triage-then-cgf-or-invariant
md5_bytea	wall	real-PG	fixed-corpus(proname)		cgf-native-diff
pg_tablespace_size_oid	state	none	none	mixed-triage	triage-then-cgf-or-invariant
pg_tablespace_size_name	state	none	none	mixed-triage	triage-then-cgf-or-invariant
pg_database_size_oid	state	none	none	mixed-triage	triage-then-cgf-or-invariant
array_unnest	state	real-PG	fixed-corpus(proname)	mockable-in-process	cgf-native-diff(seam-mock)
pg_relation_size	state	real-PG	fixed-corpus(named)	mixed-triage	triage-then-cgf-or-invariant
array_agg_transfn	state	real-PG	fixed-corpus(aggregate)	mockable-in-process	cgf-native-diff(seam-mock)
array_agg_finalfn	state	real-PG	fixed-corpus(aggregate)	mockable-in-process	cgf-native-diff(seam-mock)
has_tablespace_privilege_name_name	state	none	none	mockable-in-process	cgf-native-diff(seam-mock)
has_tablespace_privilege_name_id	state	none	none	mockable-in-process	cgf-native-diff(seam-mock)
has_tablespace_privilege_id_name	state	none	none	mockable-in-process	cgf-native-diff(seam-mock)
has_tablespace_privilege_id_id	state	none	none	mockable-in-process	cgf-native-diff(seam-mock)
has_tablespace_privilege_name	state	none	none	mockable-in-process	cgf-native-diff(seam-mock)
has_tablespace_privilege_id	state	none	none	mockable-in-process	cgf-native-diff(seam-mock)
array_recv	typcache	real-PG	fixed-corpus(named)		cgf-native-diff(typcache-mock)
array_send	typcache	real-PG	fixed-corpus(named)		cgf-native-diff(typcache-mock)
record_recv	typcache	real-PG	fixed-corpus(wire-name-only,weak)		cgf-native-diff(typcache-mock)
record_send	typcache	real-PG	fixed-corpus(wire-name-only,weak)		cgf-native-diff(typcache-mock)
int2vectorrecv	typcache	real-PG	fixed-corpus(wire-name-only,weak)		cgf-native-diff(typcache-mock)
int2vectorsend	typcache	real-PG	fixed-corpus(wire-name-only,weak)		cgf-native-diff(typcache-mock)
textrecv	blocked	real-PG	fixed-corpus(named)		cgf-sql-differential
unknownrecv	blocked	real-PG	fixed-corpus(wire-name-only,weak)		cgf-sql-differential
unknownsend	wall	real-PG	fixed-corpus(named)		cgf-native-diff
oidvectorrecv	typcache	real-PG	fixed-corpus(wire-name-only,weak)		cgf-native-diff(typcache-mock)
oidvectorsend	typcache	real-PG	fixed-corpus(wire-name-only,weak)		cgf-native-diff(typcache-mock)
namerecv	blocked	real-PG	fixed-corpus(wire-name-only,weak)		cgf-sql-differential
namesend	wall	real-PG	fixed-corpus(wire-name-only,weak)		cgf-native-diff
bpcharrecv	blocked	real-PG	fixed-corpus(wire-name-only,weak)		cgf-sql-differential
varcharrecv	blocked	real-PG	fixed-corpus(named)		cgf-sql-differential
boolrecv	blocked	real-PG	fixed-corpus(named)		cgf-sql-differential
xidrecv	blocked	real-PG	fixed-corpus(wire-name-only,weak)		cgf-sql-differential
cidrecv	blocked	real-PG	fixed-corpus(wire-name-only,weak)		cgf-sql-differential
regprocrecv	state	real-PG	fixed-corpus(named)	mockable-now	cgf-native-diff(seam-mock)
regprocsend	state	real-PG	fixed-corpus(named)	mockable-now	cgf-native-diff(seam-mock)
regprocedurerecv	state	real-PG	fixed-corpus(named)	mockable-now	cgf-native-diff(seam-mock)
regproceduresend	state	real-PG	fixed-corpus(named)	mockable-now	cgf-native-diff(seam-mock)
regoperrecv	state	real-PG	fixed-corpus(named)	mockable-now	cgf-native-diff(seam-mock)
regopersend	state	real-PG	fixed-corpus(named)	mockable-now	cgf-native-diff(seam-mock)
regoperatorrecv	state	real-PG	fixed-corpus(named)	mockable-now	cgf-native-diff(seam-mock)
regoperatorsend	state	real-PG	fixed-corpus(named)	mockable-now	cgf-native-diff(seam-mock)
regclassrecv	state	real-PG	fixed-corpus(named)	mockable-now	cgf-native-diff(seam-mock)
regclasssend	state	real-PG	fixed-corpus(named)	mockable-now	cgf-native-diff(seam-mock)
regtyperecv	state	real-PG	fixed-corpus(named)	mockable-now	cgf-native-diff(seam-mock)
regtypesend	state	real-PG	fixed-corpus(named)	mockable-now	cgf-native-diff(seam-mock)
numeric_recv	blocked	real-PG	fixed-corpus(wire-name-only,weak)		cgf-sql-differential
dsinh	blocked	real-PG	fixed-corpus(named)		cgf-sql-differential
dasinh	blocked	real-PG	fixed-corpus(proname)		cgf-sql-differential
path_recv	wall	real-PG	fixed-corpus(wire-name-only,weak)		cgf-native-diff
poly_recv	wall	real-PG	fixed-corpus(wire-name-only,weak)		cgf-native-diff
macaddr_recv	blocked	real-PG	fixed-corpus(named)		cgf-sql-differential
pg_get_ruledef_ext	state	real-PG	fixed-corpus(proname)	mockable-with-new-seam	cgf-native-diff(seam-mock)
pg_get_viewdef_name_ext	state	real-PG	fixed-corpus(proname)	mockable-with-new-seam	cgf-native-diff(seam-mock)
pg_get_viewdef_ext	state	real-PG	fixed-corpus(proname)	mockable-with-new-seam	cgf-native-diff(seam-mock)
pg_get_indexdef_ext	state	real-PG	fixed-corpus(proname)	mockable-with-new-seam	cgf-native-diff(seam-mock)
pg_get_constraintdef_ext	state	real-PG	fixed-corpus(proname)	mockable-with-new-seam	cgf-native-diff(seam-mock)
pg_get_expr_ext	state	real-PG	fixed-corpus(named)	mockable-with-new-seam	cgf-native-diff(seam-mock)
pg_prepared_statement	state	none	none	mixed-triage	triage-then-cgf-or-invariant
pg_cursor	state	real-PG	fixed-corpus(named)	mixed-triage	triage-then-cgf-or-invariant
numeric_var_pop	state	real-PG	fixed-corpus(aggregate)	mockable-in-process	cgf-native-diff(seam-mock)
pg_tablespace_databases	state	real-PG	fixed-corpus(named)	mixed-triage	triage-then-cgf-or-invariant
pg_postmaster_start_time	state	none	none	mixed-triage	triage-then-cgf-or-invariant
pg_blocking_pids	state	none	none	irreducible	invariant-only
numeric_stddev_pop	state	real-PG	fixed-corpus(aggregate)	mockable-in-process	cgf-native-diff(seam-mock)
domain_in	blocked	real-PG	fixed-corpus(named)		cgf-sql-differential
domain_recv	blocked	none	none		cgf-sql-differential
pg_timezone_abbrevs_abbrevs	SRF	none	none		cgf-sql-differential-pinned-state
xmlexists	engine	real-PG	fixed-corpus(named)		cgf-native-diff(engine-kernel)
pg_reload_conf	state	none	none	mixed-triage	triage-then-cgf-or-invariant
pg_rotate_logfile	state	none	none	mixed-triage	triage-then-cgf-or-invariant
pg_stat_file_1arg	state	none	none	irreducible	invariant-only
pg_read_file_off_len	state	real-PG	fixed-corpus(proname)	irreducible	cgf-sql-differential-pinned-state
pg_ls_dir_1arg	state	real-PG	fixed-corpus(proname)	irreducible	cgf-sql-differential-pinned-state
pg_sleep	state	real-PG	fixed-corpus(named)	mixed-triage	triage-then-cgf-or-invariant
now	state	real-PG	fixed-corpus(named)	mockable-now	cgf-native-diff(seam-mock)
statement_timestamp	state	real-PG	fixed-corpus(named)	mockable-now	cgf-native-diff(seam-mock)
clock_timestamp	state	real-PG	fixed-corpus(named)	mockable-now	cgf-native-diff(seam-mock)
gin_cmp_prefix	engine	real-PG	fixed-corpus(index-implicit,conditional)		index-battery+amcheck
pg_has_role_name_name	state	real-PG	fixed-corpus(proname)	mockable-in-process	cgf-native-diff(seam-mock)
pg_has_role_name_id	state	real-PG	fixed-corpus(proname)	mockable-in-process	cgf-native-diff(seam-mock)
pg_has_role_id_name	state	real-PG	fixed-corpus(proname)	mockable-in-process	cgf-native-diff(seam-mock)
pg_has_role_id_id	state	real-PG	fixed-corpus(proname)	mockable-in-process	cgf-native-diff(seam-mock)
pg_has_role_name	state	real-PG	fixed-corpus(proname)	mockable-in-process	cgf-native-diff(seam-mock)
pg_has_role_id	state	real-PG	fixed-corpus(proname)	mockable-in-process	cgf-native-diff(seam-mock)
pg_get_triggerdef_ext	state	real-PG	fixed-corpus(proname)	mockable-with-new-seam	cgf-native-diff(seam-mock)
pg_backup_stop	state	none	none	irreducible	invariant-only
numeric_avg_serialize	state	real-PG	fixed-corpus(named)	mockable-in-process	cgf-native-diff(seam-mock)
numeric_avg_deserialize	state	real-PG	fixed-corpus(named)	mockable-in-process	cgf-native-diff(seam-mock)
int8_avg_accum	state	real-PG	fixed-corpus(aggregate)	mockable-in-process	cgf-native-diff(seam-mock)
arrayoverlap	typcache	real-PG	fixed-corpus(operator)		cgf-native-diff(typcache-mock)
arraycontains	typcache	real-PG	fixed-corpus(operator)		cgf-native-diff(typcache-mock)
arraycontained	typcache	real-PG	fixed-corpus(operator)		cgf-native-diff(typcache-mock)
pg_stat_get_db_tuples_returned	state	none	none	irreducible	invariant-only
pg_stat_get_db_tuples_fetched	state	none	none	irreducible	invariant-only
pg_stat_get_db_tuples_inserted	state	none	none	irreducible	invariant-only
pg_stat_get_db_tuples_updated	state	none	none	irreducible	invariant-only
pg_stat_get_db_tuples_deleted	state	none	none	irreducible	invariant-only
regexp_matches_no_flags	engine	real-PG	fixed-corpus(named)		cgf-native-diff(engine-kernel)
regexp_matches	engine	real-PG	fixed-corpus(named)		cgf-native-diff(engine-kernel)
regexp_split_to_table_no_flags	engine	real-PG	fixed-corpus(named)		cgf-native-diff(engine-kernel)
regexp_split_to_table	engine	real-PG	fixed-corpus(named)		cgf-native-diff(engine-kernel)
regexp_split_to_array_no_flags	engine	real-PG	fixed-corpus(named)		cgf-native-diff(engine-kernel)
regexp_split_to_array	engine	real-PG	fixed-corpus(named)		cgf-native-diff(engine-kernel)
pg_stat_get_checkpointer_num_timed	state	none	none	irreducible	invariant-only
pg_stat_get_bgwriter_buf_written_clean	state	none	none	irreducible	invariant-only
pg_stat_get_bgwriter_maxwritten_clean	state	none	none	irreducible	invariant-only
pg_stat_get_last_vacuum_time	state	none	none	irreducible	invariant-only
pg_stat_get_last_autovacuum_time	state	none	none	irreducible	invariant-only
pg_stat_get_last_analyze_time	state	none	none	irreducible	invariant-only
pg_stat_get_last_autoanalyze_time	state	none	none	irreducible	invariant-only
int8_avg_combine	state	real-PG	fixed-corpus(named)	mockable-in-process	cgf-native-diff(seam-mock)
int8_avg_serialize	state	real-PG	fixed-corpus(parallel-agg-only,conditional)	mockable-in-process	cgf-native-diff(seam-mock)
int8_avg_deserialize	state	real-PG	fixed-corpus(parallel-agg-only,conditional)	mockable-in-process	cgf-native-diff(seam-mock)
pg_stat_get_db_blk_read_time	state	none	none	irreducible	invariant-only
pg_stat_get_db_blk_write_time	state	none	none	irreducible	invariant-only
pg_switch_wal	state	none	none	irreducible	invariant-only
pg_current_wal_lsn	state	none	none	irreducible	invariant-only
pg_walfile_name_offset	state	real-PG	fixed-corpus(named)	irreducible	invariant-only
pg_walfile_name	state	real-PG	fixed-corpus(named)	irreducible	invariant-only
pg_current_wal_insert_lsn	state	none	none	irreducible	invariant-only
pg_stat_get_backend_wait_event	state	none	none	irreducible	invariant-only
pg_my_temp_schema	state	real-PG	fixed-corpus(named)	mixed-triage	triage-then-cgf-or-invariant
pg_is_other_temp_schema	state	none	none	mixed-triage	triage-then-cgf-or-invariant
pg_timezone_names	SRF	real-PG	fixed-corpus(named)		cgf-sql-differential-pinned-state
pg_stat_get_backend_xact_start	state	none	none	irreducible	invariant-only
numeric_avg_accum	state	real-PG	fixed-corpus(named)	mockable-in-process	cgf-native-diff(seam-mock)
pg_stat_get_buf_alloc	state	none	none	irreducible	invariant-only
pg_stat_get_live_tuples	state	real-PG	fixed-corpus(named)	irreducible	invariant-only
pg_stat_get_dead_tuples	state	real-PG	fixed-corpus(named)	irreducible	invariant-only
pg_advisory_lock_int8	state	real-PG	fixed-corpus(proname)	irreducible	invariant-only
pg_advisory_lock_shared_int8	state	real-PG	fixed-corpus(proname)	irreducible	invariant-only
pg_try_advisory_lock_int8	state	none	none	irreducible	invariant-only
pg_try_advisory_lock_shared_int8	state	none	none	irreducible	invariant-only
pg_advisory_unlock_int8	state	real-PG	fixed-corpus(proname)	irreducible	invariant-only
pg_advisory_unlock_shared_int8	state	real-PG	fixed-corpus(proname)	irreducible	invariant-only
pg_advisory_lock_int4	state	real-PG	fixed-corpus(proname)	irreducible	invariant-only
pg_advisory_lock_shared_int4	state	real-PG	fixed-corpus(proname)	irreducible	invariant-only
pg_try_advisory_lock_int4	state	none	none	irreducible	invariant-only
pg_try_advisory_lock_shared_int4	state	none	none	irreducible	invariant-only
pg_advisory_unlock_int4	state	real-PG	fixed-corpus(proname)	irreducible	invariant-only
pg_advisory_unlock_shared_int4	state	real-PG	fixed-corpus(proname)	irreducible	invariant-only
pg_advisory_unlock_all	state	real-PG	fixed-corpus(named)	irreducible	invariant-only
xml_in	engine	real-PG	fixed-corpus(type-literal)		cgf-native-diff(engine-kernel)
xml_out	engine	real-PG	fixed-corpus(named)		cgf-native-diff(engine-kernel)
xmlcomment	engine	real-PG	fixed-corpus(named)		cgf-native-diff(engine-kernel)
texttoxml	engine	real-PG	fixed-corpus(named)		cgf-native-diff(engine-kernel)
xmlvalidate	engine	none	none		cgf-native-diff(engine-kernel)
xml_recv	engine	real-PG	fixed-corpus(wire-name-only,weak)		cgf-native-diff(engine-kernel)
xml_send	engine	real-PG	fixed-corpus(wire-name-only,weak)		cgf-native-diff(engine-kernel)
xmlconcat2	engine	real-PG	fixed-corpus(aggregate)		cgf-native-diff(engine-kernel)
bittypmodout	blocked	real-PG	fixed-corpus(typmod)		cgf-sql-differential
varbittypmodout	blocked	real-PG	fixed-corpus(typmod)		cgf-sql-differential
xmltotext	engine	real-PG	fixed-corpus(proname)		cgf-native-diff(engine-kernel)
table_to_xml	state	real-PG	fixed-corpus(named)	irreducible	cgf-sql-differential-pinned-state
query_to_xml	state	real-PG	fixed-corpus(named)	irreducible	cgf-sql-differential-pinned-state
cursor_to_xml	state	real-PG	fixed-corpus(named)	irreducible	cgf-sql-differential-pinned-state
table_to_xmlschema	state	real-PG	fixed-corpus(named)	irreducible	cgf-sql-differential-pinned-state
query_to_xmlschema	state	real-PG	fixed-corpus(named)	irreducible	cgf-sql-differential-pinned-state
cursor_to_xmlschema	state	real-PG	fixed-corpus(named)	irreducible	cgf-sql-differential-pinned-state
table_to_xml_and_xmlschema	state	real-PG	fixed-corpus(named)	irreducible	cgf-sql-differential-pinned-state
query_to_xml_and_xmlschema	state	real-PG	fixed-corpus(named)	irreducible	cgf-sql-differential-pinned-state
xpath	engine	real-PG	fixed-corpus(named)		cgf-native-diff(engine-kernel)
schema_to_xml	state	real-PG	fixed-corpus(named)	irreducible	cgf-sql-differential-pinned-state
schema_to_xmlschema	state	real-PG	fixed-corpus(named)	irreducible	cgf-sql-differential-pinned-state
schema_to_xml_and_xmlschema	state	real-PG	fixed-corpus(named)	irreducible	cgf-sql-differential-pinned-state
database_to_xml	state	none	none	irreducible	cgf-sql-differential-pinned-state
database_to_xmlschema	state	none	none	irreducible	cgf-sql-differential-pinned-state
database_to_xml_and_xmlschema	state	none	none	irreducible	cgf-sql-differential-pinned-state
pg_stat_get_function_calls	state	real-PG	fixed-corpus(named)	irreducible	invariant-only
pg_stat_get_function_total_time	state	real-PG	fixed-corpus(named)	irreducible	invariant-only
pg_stat_get_function_self_time	state	real-PG	fixed-corpus(named)	irreducible	invariant-only
pg_table_size	state	none	none	mixed-triage	triage-then-cgf-or-invariant
pg_indexes_size	state	none	none	mixed-triage	triage-then-cgf-or-invariant
pg_relation_filenode	state	real-PG	fixed-corpus(named)	mixed-triage	triage-then-cgf-or-invariant
has_foreign_data_wrapper_privilege_name_name	state	real-PG	fixed-corpus(proname)	mockable-in-process	cgf-native-diff(seam-mock)
has_foreign_data_wrapper_privilege_name_id	state	real-PG	fixed-corpus(proname)	mockable-in-process	cgf-native-diff(seam-mock)
has_foreign_data_wrapper_privilege_id_name	state	real-PG	fixed-corpus(proname)	mockable-in-process	cgf-native-diff(seam-mock)
has_foreign_data_wrapper_privilege_id_id	state	real-PG	fixed-corpus(proname)	mockable-in-process	cgf-native-diff(seam-mock)
has_foreign_data_wrapper_privilege_name	state	real-PG	fixed-corpus(proname)	mockable-in-process	cgf-native-diff(seam-mock)
has_foreign_data_wrapper_privilege_id	state	real-PG	fixed-corpus(proname)	mockable-in-process	cgf-native-diff(seam-mock)
has_server_privilege_name_name	state	real-PG	fixed-corpus(proname)	mockable-in-process	cgf-native-diff(seam-mock)
has_server_privilege_name_id	state	real-PG	fixed-corpus(proname)	mockable-in-process	cgf-native-diff(seam-mock)
has_server_privilege_id_name	state	real-PG	fixed-corpus(proname)	mockable-in-process	cgf-native-diff(seam-mock)
has_server_privilege_id_id	state	real-PG	fixed-corpus(proname)	mockable-in-process	cgf-native-diff(seam-mock)
has_server_privilege_name	state	real-PG	fixed-corpus(proname)	mockable-in-process	cgf-native-diff(seam-mock)
has_server_privilege_id	state	real-PG	fixed-corpus(proname)	mockable-in-process	cgf-native-diff(seam-mock)
has_column_privilege_name_name_name	state	real-PG	fixed-corpus(proname)	mockable-in-process	cgf-native-diff(seam-mock)
has_column_privilege_name_name_attnum	state	real-PG	fixed-corpus(proname)	mockable-in-process	cgf-native-diff(seam-mock)
has_column_privilege_name_id_name	state	real-PG	fixed-corpus(proname)	mockable-in-process	cgf-native-diff(seam-mock)
has_column_privilege_name_id_attnum	state	real-PG	fixed-corpus(proname)	mockable-in-process	cgf-native-diff(seam-mock)
has_column_privilege_id_name_name	state	real-PG	fixed-corpus(proname)	mockable-in-process	cgf-native-diff(seam-mock)
has_column_privilege_id_name_attnum	state	real-PG	fixed-corpus(proname)	mockable-in-process	cgf-native-diff(seam-mock)
has_column_privilege_id_id_name	state	real-PG	fixed-corpus(proname)	mockable-in-process	cgf-native-diff(seam-mock)
has_column_privilege_id_id_attnum	state	real-PG	fixed-corpus(proname)	mockable-in-process	cgf-native-diff(seam-mock)
has_column_privilege_name_name	state	real-PG	fixed-corpus(proname)	mockable-in-process	cgf-native-diff(seam-mock)
has_column_privilege_name_attnum	state	real-PG	fixed-corpus(proname)	mockable-in-process	cgf-native-diff(seam-mock)
has_column_privilege_id_name	state	real-PG	fixed-corpus(proname)	mockable-in-process	cgf-native-diff(seam-mock)
has_column_privilege_id_attnum	state	real-PG	fixed-corpus(proname)	mockable-in-process	cgf-native-diff(seam-mock)
has_any_column_privilege_name_name	state	none	none	mockable-in-process	cgf-native-diff(seam-mock)
has_any_column_privilege_name_id	state	none	none	mockable-in-process	cgf-native-diff(seam-mock)
has_any_column_privilege_id_name	state	none	none	mockable-in-process	cgf-native-diff(seam-mock)
has_any_column_privilege_id_id	state	none	none	mockable-in-process	cgf-native-diff(seam-mock)
has_any_column_privilege_name	state	none	none	mockable-in-process	cgf-native-diff(seam-mock)
has_any_column_privilege_id	state	none	none	mockable-in-process	cgf-native-diff(seam-mock)
pg_relation_filepath	state	none	none	mixed-triage	triage-then-cgf-or-invariant
pg_listening_channels	state	real-PG	fixed-corpus(named)	mixed-triage	triage-then-cgf-or-invariant
pg_notify	state	real-PG	fixed-corpus(named)	mixed-triage	triage-then-cgf-or-invariant
pg_stat_get_xact_numscans	state	none	none	irreducible	invariant-only
pg_stat_get_xact_tuples_returned	state	none	none	irreducible	invariant-only
pg_stat_get_xact_tuples_fetched	state	none	none	irreducible	invariant-only
pg_stat_get_xact_tuples_inserted	state	real-PG	fixed-corpus(named)	irreducible	invariant-only
pg_stat_get_xact_tuples_updated	state	none	none	irreducible	invariant-only
pg_stat_get_xact_tuples_deleted	state	none	none	irreducible	invariant-only
pg_stat_get_xact_tuples_hot_updated	state	none	none	irreducible	invariant-only
pg_stat_get_xact_blocks_fetched	state	none	none	irreducible	invariant-only
pg_stat_get_xact_blocks_hit	state	none	none	irreducible	invariant-only
pg_stat_get_xact_function_calls	state	real-PG	fixed-corpus(named)	irreducible	invariant-only
pg_stat_get_xact_function_total_time	state	none	none	irreducible	invariant-only
pg_stat_get_xact_function_self_time	state	none	none	irreducible	invariant-only
xpath_exists	engine	real-PG	fixed-corpus(named)		cgf-native-diff(engine-kernel)
xml_is_well_formed	engine	real-PG	fixed-corpus(named)		cgf-native-diff(engine-kernel)
xml_is_well_formed_document	engine	real-PG	fixed-corpus(named)		cgf-native-diff(engine-kernel)
xml_is_well_formed_content	engine	real-PG	fixed-corpus(named)		cgf-native-diff(engine-kernel)
pg_stat_get_vacuum_count	state	real-PG	fixed-corpus(named)	irreducible	invariant-only
pg_stat_get_autovacuum_count	state	none	none	irreducible	invariant-only
pg_stat_get_analyze_count	state	none	none	irreducible	invariant-only
pg_stat_get_autoanalyze_count	state	none	none	irreducible	invariant-only
text_concat	blocked	none	none		cgf-sql-differential
text_concat_ws	blocked	none	none		cgf-sql-differential
pg_stat_get_db_conflict_tablespace	state	none	none	irreducible	invariant-only
pg_stat_get_db_conflict_lock	state	none	none	irreducible	invariant-only
pg_stat_get_db_conflict_snapshot	state	none	none	irreducible	invariant-only
pg_stat_get_db_conflict_bufferpin	state	none	none	irreducible	invariant-only
pg_stat_get_db_conflict_all	state	none	none	irreducible	invariant-only
pg_wal_replay_pause	state	none	none	irreducible	invariant-only
pg_wal_replay_resume	state	none	none	irreducible	invariant-only
pg_is_wal_replay_paused	state	none	none	irreducible	invariant-only
pg_stat_get_db_stat_reset_time	state	none	none	irreducible	invariant-only
pg_stat_get_bgwriter_stat_reset_time	state	none	none	irreducible	invariant-only
pg_available_extensions	state	real-PG	fixed-corpus(named)	mixed-triage	triage-then-cgf-or-invariant
pg_available_extension_versions	state	real-PG	fixed-corpus(named)	mixed-triage	triage-then-cgf-or-invariant
pg_extension_update_paths	state	none	none	mixed-triage	triage-then-cgf-or-invariant
pg_advisory_xact_lock_int8	state	real-PG	fixed-corpus(named)	irreducible	invariant-only
pg_advisory_xact_lock_shared_int8	state	real-PG	fixed-corpus(named)	irreducible	invariant-only
pg_try_advisory_xact_lock_int8	state	real-PG	fixed-corpus(proname)	irreducible	invariant-only
pg_advisory_xact_lock_int4	state	real-PG	fixed-corpus(proname)	irreducible	invariant-only
pg_advisory_xact_lock_shared_int4	state	real-PG	fixed-corpus(proname)	irreducible	invariant-only
pg_try_advisory_xact_lock_int4	state	real-PG	fixed-corpus(proname)	irreducible	invariant-only
varchar_support	blocked	real-PG	fixed-corpus(named)		cgf-sql-differential
pg_create_restore_point	state	none	none	irreducible	invariant-only
pg_stat_get_wal_senders	state	none	none	irreducible	invariant-only
has_type_privilege_name_name	state	real-PG	fixed-corpus(proname)	mockable-in-process	cgf-native-diff(seam-mock)
